"model_id","model","context","context_label","expected_in_grid","attempt_status","source_status","runnable","passed","total","pass_pct","peak_vram_mib","recommended_context","source_evidence_id","note"
"qwen3-coder-30b-a3b-iq4xs","Qwen3-Coder-30B-A3B IQ4_XS","32768","32K","yes","completed_comparable","task_failures_5","yes","18","23","78.26","17112","32K","context_sweep_summary","Recommended context: smallest context that reached this model's best B1 score."
"qwen3-coder-30b-a3b-iq4xs","Qwen3-Coder-30B-A3B IQ4_XS","65536","64K","yes","completed_comparable","task_failures_5","yes","18","23","78.26","18044","32K","context_sweep_summary","Runnable under 23 GiB guard."
"qwen3-coder-30b-a3b-iq4xs","Qwen3-Coder-30B-A3B IQ4_XS","131072","128K","yes","completed_comparable","task_failures_5","yes","18","23","78.26","19872","32K","context_sweep_summary","Runnable under 23 GiB guard."
"qwen3-coder-30b-a3b-iq4xs","Qwen3-Coder-30B-A3B IQ4_XS","262144","256K","yes","completed_no_guard_supplement","vram_guard_load","yes","18","23","78.26","23708","32K","context_sweep_summary","Completed in no-guard supplemental run; original 23 GiB guard stopped this configuration at load."
"qwen36-35b-a3b-iq4xs","Qwen3.6-35B-A3B IQ4_XS","32768","32K","yes","completed_comparable","task_failures_4","yes","19","23","82.61","18916","64K","context_sweep_summary","Runnable under 23 GiB guard."
"qwen36-35b-a3b-iq4xs","Qwen3.6-35B-A3B IQ4_XS","65536","64K","yes","completed_comparable","task_failures_3","yes","20","23","86.96","19170","64K","context_sweep_summary","Recommended context: smallest context that reached this model's best B1 score."
"qwen36-35b-a3b-iq4xs","Qwen3.6-35B-A3B IQ4_XS","131072","128K","yes","completed_comparable","task_failures_3","yes","20","23","86.96","19530","64K","context_sweep_summary","Runnable under 23 GiB guard."
"qwen36-35b-a3b-iq4xs","Qwen3.6-35B-A3B IQ4_XS","262144","256K","yes","completed_comparable","task_failures_3","yes","20","23","86.96","20570","64K","context_sweep_summary","Runnable under 23 GiB guard."
"devstral-small2-24b-q4km","Devstral Small 2 24B Q4_K_M","32768","32K","yes","completed_comparable","task_failures_7","yes","16","23","69.57","15572","64K","context_sweep_summary","Runnable under 23 GiB guard."
"devstral-small2-24b-q4km","Devstral Small 2 24B Q4_K_M","65536","64K","yes","completed_comparable","task_failures_6","yes","17","23","73.91","17186","64K","context_sweep_summary","Recommended context: smallest context that reached this model's best B1 score."
"devstral-small2-24b-q4km","Devstral Small 2 24B Q4_K_M","131072","128K","yes","completed_comparable","task_failures_6","yes","17","23","73.91","20130","64K","context_sweep_summary","Runnable under 23 GiB guard."
"devstral-small2-24b-q4km","Devstral Small 2 24B Q4_K_M","262144","256K","yes","completed_no_guard_supplement","vram_guard_load","yes","17","23","73.91","23710","64K","context_sweep_summary","Completed in no-guard supplemental run; original 23 GiB guard stopped this configuration at load."
"glm-4.7-flash-iq4xs","GLM-4.7-Flash IQ4_XS","32768","32K","yes","completed_comparable","task_failures_11","yes","12","23","52.17","16624","32K","context_sweep_summary","Recommended context: smallest context that reached this model's best B1 score."
"glm-4.7-flash-iq4xs","GLM-4.7-Flash IQ4_XS","65536","64K","yes","completed_comparable","task_failures_11","yes","12","23","52.17","17134","32K","context_sweep_summary","Runnable under 23 GiB guard."
"glm-4.7-flash-iq4xs","GLM-4.7-Flash IQ4_XS","131072","128K","yes","completed_comparable","task_failures_11","yes","12","23","52.17","18208","32K","context_sweep_summary","Runnable under 23 GiB guard."
"glm-4.7-flash-iq4xs","GLM-4.7-Flash IQ4_XS","262144","256K","yes","completed_comparable","task_failures_11","yes","12","23","52.17","20496","32K","context_sweep_summary","Runnable under 23 GiB guard."
"nemotron3-nano-omni-30b-a3b-reasoning-iq4xs","NVIDIA Nemotron Omni 30B IQ4_XS","32768","32K","yes","completed_comparable","task_failures_12","yes","11","23","47.83","19136","64K","context_sweep_summary","Runnable under 23 GiB guard."
"nemotron3-nano-omni-30b-a3b-reasoning-iq4xs","NVIDIA Nemotron Omni 30B IQ4_XS","65536","64K","yes","completed_comparable","task_failures_11","yes","12","23","52.17","19222","64K","context_sweep_summary","Recommended context: smallest context that reached this model's best B1 score."
"nemotron3-nano-omni-30b-a3b-reasoning-iq4xs","NVIDIA Nemotron Omni 30B IQ4_XS","131072","128K","yes","completed_comparable","task_failures_11","yes","12","23","52.17","19474","64K","context_sweep_summary","Runnable under 23 GiB guard."
"nemotron3-nano-omni-30b-a3b-reasoning-iq4xs","NVIDIA Nemotron Omni 30B IQ4_XS","262144","256K","yes","completed_comparable","task_failures_11","yes","12","23","52.17","20074","64K","context_sweep_summary","Runnable under 23 GiB guard."
