"task_id","public_name","task_group","prompt_chars","prompt_lines","prompt_words","approx_prompt_tokens","prompt_source_id"
"fn_001_parse_logs","Function coding task: Implement `summarize_logs(lines)` in `solution.py`.","function","652","13","97","163","fn_001_parse_logs"
"fn_002_calculate_pricing","Function coding task: Implement `calculate_pricing(items, coupon=None, tax_rate=0)` in `solution.py`.","function","571","16","83","143","fn_002_calculate_pricing"
"fn_003_merge_intervals","Function coding task: Implement `merge_intervals_with_labels(intervals)` in `solution.py`.","function","528","10","81","132","fn_003_merge_intervals"
"fn_004_dedupe_users","Function coding task: Implement `dedupe_users(users)` in `solution.py`.","function","789","15","123","198","fn_004_dedupe_users"
"fn_005_retry_schedule","Function coding task: Implement `retry_schedule(max_retries, base_delay_ms=100, factor=2, max_delay_ms=None, jitter=None)` in `solution.py`.","function","612","9","94","153","fn_005_retry_schedule"
"fn_006_rank_results","Function coding task: Implement `rank_results(results, now_ts)` in `solution.py`.","function","559","13","81","140","fn_006_rank_results"
"game_001_snake_canvas","Browser game generation task: Create a playable browser Snake game.","game","830","22","116","208","game_001_snake_canvas"
"game_002_2048_grid","Browser game generation task: Create a playable browser 2048-style tile game.","game","819","22","119","205","game_002_2048_grid"
"game_003_tetris_canvas","Browser game generation task: Create a playable browser Tetris-style game named `BurgerTown Blocks`.","game","1423","48","227","356","game_003_tetris_canvas"
"game_004_minesweeper_grid","Browser game generation task: Create a playable browser Minesweeper-style game named `BurgerTown Mines`.","game","1002","34","156","251","game_004_minesweeper_grid"
"repo_001_cli_json_format","Repository edit task: Update the CLI implementation.","repo","548","14","80","137","repo_001_cli_json_format"
"repo_002_fix_pagination","Repository edit task: Fix the pagination helper.","repo","501","12","84","126","repo_002_fix_pagination"
"repo_003_fix_cache_key","Repository edit task: Fix the caching bug in `get_user_orders`.","repo","476","10","74","119","repo_003_fix_cache_key"
"repo_004_add_config_option","Repository edit task: Add support for a new timeout configuration option.","repo","623","13","85","156","repo_004_add_config_option"
"repo_005_fix_auth_permission_bug","Repository edit task: Fix the permission check.","repo","485","11","73","122","repo_005_fix_auth_permission_bug"
"repo_006_refactor_without_api_change","Repository edit task: Fix and clean up `normalize_event`.","repo","740","15","106","185","repo_006_refactor_without_api_change"
"repo_007_long_context_checkout_totals","Repository edit task: Fix the checkout total calculation bug in this repository.","repo","1036","12","160","259","repo_007_long_context_checkout_totals"
"repo_008_long_context_policy_resolution","Repository edit task: Fix the refund policy implementation.","repo","379","5","51","95","repo_008_long_context_policy_resolution"
"repo_009_cross_file_config_flag","Repository edit task: Fix the checkout configuration flag behavior.","repo","637","12","80","160","repo_009_cross_file_config_flag"
"vision_001_menu_grid_desktop","Vision extraction task: Look at the fast-food ordering screenshot and extract the visible UI information.","vision","437","15","53","110","vision_001_menu_grid_desktop"
"vision_002_menu_grid_mobile","Vision extraction task: Look at the mobile fast-food ordering screenshot and extract the visible UI information.","vision","473","16","56","119","vision_002_menu_grid_mobile"
"vision_003_customize_burger","Vision extraction task: Look at the burger customization screenshot and extract the selected configuration.","vision","411","15","41","103","vision_003_customize_burger"
"vision_004_customize_bowl","Vision extraction task: Look at the bowl customization screenshot and extract the selected configuration.","vision","453","17","45","114","vision_004_customize_bowl"
"vision_005_cart_checkout","Vision extraction task: Look at the checkout/cart screenshot and extract the visible order information.","vision","610","20","70","153","vision_005_cart_checkout"
"vision_006_empty_error_state","Vision extraction task: Look at the mobile empty cart and delivery error screenshot.","vision","432","15","47","108","vision_006_empty_error_state"
"web_001_order_dashboard","Web UI generation task: Create a static web dashboard for a fictional fast-food ordering system.","web","945","30","137","237","web_001_order_dashboard"
"web_002_checkout_form","Web UI generation task: Create a static checkout page for a fictional fast-food ordering site.","web","1055","33","153","264","web_002_checkout_form"
"web_003_multi_page_ordering_site","Web UI generation task: Create a static multi-page fast-food ordering website for a fictional brand named `BurgerTown`.","web","2330","67","323","583","web_003_multi_page_ordering_site"
"web_004_kitchen_admin_dashboard","Web UI generation task: Create a static kitchen operations dashboard for a fictional fast-food chain named `BurgerTown Kitchen`.","web","1474","43","215","369","web_004_kitchen_admin_dashboard"
"web_005_vision_checkout_recreation","Screenshot-to-web task: BurgerTown checkout recreation","web","1525","42","225","382","web_005_vision_checkout_recreation"
