"public_task_name","display_model","model_id","context","run_kind","round","evidence_id","screenshot_to_web_result","source_leaderboard_score","source_score_scope","source_note"
"screenshot-to-web task","Qwen3VL-8B-Instruct Q4_K_M","qwen3vl-8b-instruct-q4km","256K","one_off_or_legacy","","vtw_001","0/1","6/6","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Best pure vision extraction."
"screenshot-to-web task","Qwen3-Omni-30B-A3B Q4_K_M","qwen3-omni-30b-a3b-q4km","64K","one_off_or_legacy","","vtw_002","1/1","5/6","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Native Omni vision-to-web one-off evidence; 128K exceeded guard, and later n=3 screenshot-to-web repeat did not reproduce the pass."
"screenshot-to-web task","Qwen3-Omni-30B-A3B Q4_K_M","qwen3-omni-30b-a3b-q4km","64K","one_off_or_legacy","","vtw_003","1/1","5/6","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Native Omni vision-to-web one-off evidence; 128K exceeded guard, and later n=3 screenshot-to-web repeat did not reproduce the pass."
"screenshot-to-web task","Devstral Small 2 24B Q4_K_M","devstral-small2-24b-q4km","32K","one_off_or_legacy","","vtw_004","1/1","6/6","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Coding-capable model with verified local mmproj; one-off screenshot-to-web B1 pass was not reproduced in the later n=3 repeat check."
"screenshot-to-web task","Gemma4-31B Vision Q4_K_XL","gemma4-31b-it-qat-q4kxl","32K","one_off_or_legacy","","vtw_005","0/1","4/6","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction run plus screenshot-to-web attempt."
"screenshot-to-web task","Qwen3.6-35B-A3B + mmproj","qwen36-35b-a3b-iq4xs","256K","one_off_or_legacy","","vtw_006","0/1","3/6","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Coding model with vision attachment."
"screenshot-to-web task","Phi-4-Multimodal Q4_K_M","phi4-multimodal-q4km","32K","one_off_or_legacy","","vtw_007","0/1","0/6","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction and vision-to-web failed in this harness."
"screenshot-to-web task","Devstral Small 2 24B Q4_K_M","devstral-small2-24b-q4km","32K","repeat_n3","1","vtw_008","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check. The GGUF source is the canonical Devstral model; the run used the local vision attachment."
"screenshot-to-web task","Devstral Small 2 24B Q4_K_M","devstral-small2-24b-q4km","32K","repeat_n3","2","vtw_009","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check. The GGUF source is the canonical Devstral model; the run used the local vision attachment."
"screenshot-to-web task","Devstral Small 2 24B Q4_K_M","devstral-small2-24b-q4km","32K","repeat_n3","3","vtw_010","0/0/0","0/1/1","screenshot-to-web result for repeat rows; may be a parent vision aggregate for one-off legacy rows","Vision extraction n=3 stability run plus screenshot-to-web repeat check. The GGUF source is the canonical Devstral model; the run used the local vision attachment."
