"task_id","public_task_name","task_family","tested_capability","input_type","output_type","prompt_chars","prompt_lines","approx_prompt_tokens","asset_count","has_image_input","expected_artifact_type","repair_eligible","browser_audited","vision_task","validator_type","validator_path","source_provenance","design_complexity","observed_difficulty","separator_task_flag","notes"
"fn_001_parse_logs","Function coding task: Implement `summarize_logs(lines)` in `solution.py`.","function","function parsing and aggregation","text","code or patch","652","13","163","1","False","source code","True","False","False","automated test command","python tests/test_solution.py","custom_synthetic_function_task","simple","separator","true","Not imported from HumanEval, MBPP, LiveCodeBench, or another public coding leaderboard. The task archetype is common, but the prompt, tests, and expected edge cases are project-specific."
"fn_002_calculate_pricing","Function coding task: Implement `calculate_pricing(items, coupon=None, tax_rate=0)` in `solution.py`.","function","pricing rules and rounding","text","code or patch","571","16","143","1","False","source code","True","False","False","automated test command","python tests/test_solution.py","custom_synthetic_function_task","simple","separator","true","Not imported from HumanEval, MBPP, LiveCodeBench, or another public coding leaderboard. The task archetype is common, but the prompt, tests, and expected edge cases are project-specific."
"fn_003_merge_intervals","Function coding task: Implement `merge_intervals_with_labels(intervals)` in `solution.py`.","function","interval merging with labels","text","code or patch","528","10","132","1","False","source code","True","False","False","automated test command","python tests/test_solution.py","custom_synthetic_function_task","medium","separator","true","Not imported from HumanEval, MBPP, LiveCodeBench, or another public coding leaderboard. The task archetype is common, but the prompt, tests, and expected edge cases are project-specific."
"fn_004_dedupe_users","Function coding task: Implement `dedupe_users(users)` in `solution.py`.","function","transitive identity dedupe","text","code or patch","789","15","198","1","False","source code","True","False","False","automated test command","python tests/test_solution.py","custom_synthetic_function_task","medium","hard","true","Not imported from HumanEval, MBPP, LiveCodeBench, or another public coding leaderboard. The task archetype is common, but the prompt, tests, and expected edge cases are project-specific."
"fn_005_retry_schedule","Function coding task: Implement `retry_schedule(max_retries, base_delay_ms=100, factor=2, max_delay_ms=None, jitter=None)` in `solution.py`.","function","retry schedule math","text","code or patch","612","9","153","1","False","source code","True","False","False","automated test command","python tests/test_solution.py","custom_synthetic_function_task","simple","easy","true","Not imported from HumanEval, MBPP, LiveCodeBench, or another public coding leaderboard. The task archetype is common, but the prompt, tests, and expected edge cases are project-specific."
"fn_006_rank_results","Function coding task: Implement `rank_results(results, now_ts)` in `solution.py`.","function","multi-factor ranking","text","code or patch","559","13","140","1","False","source code","True","False","False","automated test command","python tests/test_solution.py","custom_synthetic_function_task","medium","easy","true","Not imported from HumanEval, MBPP, LiveCodeBench, or another public coding leaderboard. The task archetype is common, but the prompt, tests, and expected edge cases are project-specific."
"game_001_snake_canvas","Browser game generation task: Create a playable browser Snake game.","game","canvas loop game","text","browser-openable artifact","830","22","208","3","False","browser-openable artifact","True","True","False","automated test command","python tests/test_game.py","custom_prompt_around_common_game_mechanics","medium","separator","true","Snake, 2048, Tetris-style, and Minesweeper-style rules are widely known, so these tasks test practical implementation quality rather than novelty. The benchmark prompt, required DOM/test ids, and validators are project-specific."
"game_002_2048_grid","Browser game generation task: Create a playable browser 2048-style tile game.","game","grid merge game","text","browser-openable artifact","819","22","205","3","False","browser-openable artifact","True","True","False","automated test command","python tests/test_game.py","custom_prompt_around_common_game_mechanics","hard","separator","true","Snake, 2048, Tetris-style, and Minesweeper-style rules are widely known, so these tasks test practical implementation quality rather than novelty. The benchmark prompt, required DOM/test ids, and validators are project-specific."
"game_003_tetris_canvas","Browser game generation task: Create a playable browser Tetris-style game named `BurgerTown Blocks`.","game","collision and rotation game","text","browser-openable artifact","1423","48","356","3","False","browser-openable artifact","True","True","False","automated test command","python tests/test_game.py","custom_prompt_around_common_game_mechanics","hard","separator","true","Snake, 2048, Tetris-style, and Minesweeper-style rules are widely known, so these tasks test practical implementation quality rather than novelty. The benchmark prompt, required DOM/test ids, and validators are project-specific."
"game_004_minesweeper_grid","Browser game generation task: Create a playable browser Minesweeper-style game named `BurgerTown Mines`.","game","stateful reveal/flag game","text","browser-openable artifact","1002","34","251","3","False","browser-openable artifact","True","True","False","automated test command","python tests/test_game.py","custom_prompt_around_common_game_mechanics","hard","unsolved","false","Snake, 2048, Tetris-style, and Minesweeper-style rules are widely known, so these tasks test practical implementation quality rather than novelty. The benchmark prompt, required DOM/test ids, and validators are project-specific."
